HYBAS_ID,TDq0,Obs_TDq0,TDq1,Obs_TDq1,TDq2,Obs_TDq2,FDq0,Obs_FDq0,FDq1,Obs_FDq1,FDq2,Obs_FDq2,Nat_dis,LSR,IE_lmx,Riv_a,GTD,Bio1,Bio2,Bio8,Bio12,Bio15,Elev_range,Str_gra,For_ext,Cro_ext,Area,GDP,HDI,HFP,HMG,Sam_eff
1041174950,51.63265306,22,28.93425153,17.83992899,19.90427799,14.91304348,5.283181646,4.639914059,3.234528665,3.757481077,2.633346564,3.279845938,3341.031,346,13,95749.305,124,24.32580459,10.17172138,23.94423261,1612.320212,49.74665063,965,34,79,1,285042.7,5587.838638,523,3.429564346,0.133624205,56.13194093
1041259940,72.97360704,55,27.13846954,25.67279688,15.89727187,15.97376193,3.987850562,7.854850881,2.733885178,4.491843383,2.430903377,3.43679748,2535.299,220,13,116644.313,190,21.63185381,12.35682566,22.04142058,1169.718824,97.60225823,1478,57,79,10,453077.6,31886.54294,486,6.101993229,0.189199926,308.9978405
1041259950,26.6442577,24,21.98108801,19.5461005,17.74205403,17.16484848,3.139613915,4.576161872,2.735583692,3.946776598,2.564353421,3.634450145,1769.445,132,23,46923.297,239,22.37857807,10.95163686,22.45266103,1053.36414,84.94150801,3467,78,46,9,266510.8,49553.17121,502,7.51804663,0.235575387,60.03509051
1041431480,33.73583744,28,20.64758637,17.59381113,12.77791221,12.21052632,3.586178821,5.017441558,2.688824188,3.69284834,2.398099009,3.064647038,715.641,154,1,31908.195,237,21.95406514,12.46697795,23.25476192,945.8911229,118.5122983,1911,80,48,8,149538.4,18038.00018,574,5.722487188,0.197048555,120.3704199
1041431680,31.12060547,30,23.26368683,21.85293106,17.39465909,17.7604336,3.177763288,5.19587412,2.808550081,4.226170698,2.649001245,3.752245932,1852.782,83,2,7602.766,380,22.53335117,13.01689338,23.86904485,802.3221453,120.3262346,1101,91,32,3,19076.7,759103.2143,552,7.179346326,0.229426704,1834.698873
1041438780,38.57637363,30,20.90691317,17.74162181,13.31761741,12.68768769,3.372999224,5.041999958,2.755649756,3.7598347,2.59674754,3.213111324,491.555,166,9,36464.227,134,20.47210618,15.19679967,21.82231798,972.1916337,115.1943636,1200,35,64,6,156566.4,155911.5874,578,5.848184674,0.204517446,153.2895947
1041438860,57.95227273,37,25.88273665,24.34538057,18.47902692,18.92103206,3.482255682,5.962528775,2.794607894,4.45621372,2.53608766,3.81460863,1323.527,58,8,30906.154,319,21.28608416,14.16700531,23.22066891,692.7630896,114.2802045,1208,62,36,7,165736.8,26440.18642,529,7.503055841,0.246794721,398.2217588
1041472390,29.2293578,27,21.67005585,18.75701899,14.73927981,14.26290516,3.36273761,4.903237391,2.722230991,3.855779645,2.534674351,3.340226117,601.546,255,29,44060.891,189,21.63418441,10.28553003,22.9786022,1131.078477,105.5046381,2843,108,40,14,161059.1,105248.6099,480,8.58602708,0.332060512,173.8492268
1041472430,48.44725738,36,25.09141937,22.52191794,17.03939482,16.51543664,3.881899219,5.975726405,3.136356575,4.447033121,2.853497892,3.750434499,3174.302,172,5,64426.258,329,22.21759298,13.24182816,24.17669752,828.9056977,114.8580259,2439,77,35,7,197311.4,56965.10619,458,7.196285073,0.227375959,162.1801883
1041473880,47.10798611,41,30.98343138,28.91857074,23.83312381,23.92909897,3.528255158,6.406745599,3.029395934,5.018242109,2.804929241,4.422609779,1012.679,160,17,79823.352,163,20.6410454,14.79709491,21.99915754,1025.102865,103.5097108,744,30,64,4,362352.9,4400.768876,560,4.45929892,0.124957461,96.59092007
